State,Bank.account.or.service,Consumer.loan,Credit.card,Credit.reporting,Debt.collection,Money.transfers,Mortgage,Other.financial.service,Payday.loan,Prepaid.card,Student.loan,name_x,X2013,X2010,Bank_account_or_service,Consumer_loan,Credit_card,Credit_reporting,Debt_collection,Money_transfers,Mortgage_Complaints,Other_financial_service,Payday_loan,Prepaid_card,Student_loan,Total,id,name_y,name,region,division
NV,497,123,520,669,843,24,1529,0,47,9,91,Nevada,2790136,2700551,178.127517798416,44.0838726140948,186.37084357178296,239.773258364467,302.13580986733297,8.60173124177459,548.001961194723,0.0,16.8450570151419,3.2256492156654706,32.614897625062,1559.7805985084601,32.0,Nevada      ,Nevada,West,Mountain
NY,3938,699,4467,3486,3571,169,8370,19,54,31,1024,New York,19651127,19378104,200.39563125310798,35.5704789857599,227.315206908998,177.394405928983,181.719857593918,8.60001566322379,425.929769829486,0.966865666279598,2.7479339988999105,1.57751766603513,52.108970645805705,1314.3266541405,36.0,New York    ,New York,Northeast,Middle Atlantic
OH,1424,532,1710,1308,2113,72,3939,4,120,24,522,Ohio,11570808,11536502,123.068328503939,45.9777744129883,147.785703470319,113.043099496595,182.614731832038,6.2225559355924,340.425664309701,0.34569755197735497,10.370926559320699,2.07418531186413,45.1135305330449,1017.0421979173801,39.0,Ohio        ,Ohio,North Central,East North Central
OK,204,110,314,394,626,19,643,1,36,3,77,Oklahoma,3850568,3751354,52.979196835375994,28.5672139798596,81.54641081523559,102.322566436952,162.573417739928,4.93433696015757,166.988350809543,0.259701945271451,9.34927002977223,0.7791058358143531,19.997049785901694,630.296621173811,40.0,Oklahoma    ,Oklahoma,South,West South Central
OR,506,111,536,572,808,19,1706,2,22,10,141,Oregon,3930065,3831074,128.751051191265,28.2438076723922,136.384512724344,145.544666564039,205.594563957594,4.83452563761668,434.089512514424,0.5088974355385979,5.5978717909245805,2.5444871776929903,35.8772692054712,1127.9711658713,41.0,Oregon      ,Oregon,West,Pacific
PA,1970,498,1789,1823,2150,74,4391,7,95,23,707,Pennsylvania,12773801,12702379,154.221910925339,38.986046518182,140.05228357636102,142.713981531417,168.31325304034402,5.79310731394673,343.750462372163,0.547996637805771,7.437097227364041,1.80056038136182,55.3476604183829,1058.96435994267,42.0,Pennsylvania,Pennsylvania,Northeast,Middle Atlantic
RI,250,56,191,183,208,7,395,0,31,1,44,Rhode Island,1051511,1052567,237.75310006267202,53.2566944140385,181.64336844788104,174.035269245876,197.810579252143,6.65708680175481,375.649898099021,0.0,29.4813844077713,0.951012400250687,41.8445456110302,1299.08293874244,44.0,Rhode Island,Rhode Island,Northeast,New England
SC,423,220,480,781,984,19,1461,2,38,3,122,South Carolina,4774839,4625364,88.58937442707493,46.07485194788771,100.526949704482,163.565724415001,206.080246894188,3.97919175913575,305.978903163018,0.4188622904353421,7.95838351827151,0.628293435653014,25.5505997165559,949.351381271704,45.0,South Caroli,South Carolina,South,South Atlantic
SD,49,21,107,54,134,2,131,0,4,1,21,South Dakota,844877,814180,57.9966077902464,24.8556890529627,126.645653746048,63.9146289933328,158.602968242715,2.3672084812345497,155.052155520863,0.0,4.73441696246909,1.18360424061727,24.8556890529627,620.208622083451,46.0,South Dakota,South Dakota,North Central,West North Central
TN,611,259,699,761,1184,25,1691,5,63,11,175,Tennessee,6495978,6346110,94.0582003202597,39.87082468567471,107.605044228906,117.149411528179,182.26662713451302,3.84853520131996,260.314921017282,0.769707040263991,9.698308707326287,1.69335548858078,26.939746409239696,844.214681761545,47.0,Tennessee   ,Tennessee,South,East South Central
TX,2496,1038,2970,7307,5912,150,6608,16,270,47,552,Texas,26448193,25145561,94.3731770257424,39.2465375611861,112.295006316689,276.275963352203,223.531339173153,5.671464965489321,249.846936613023,0.604956262985528,10.2086369378808,1.7770590225199898,20.8709910730007,1034.70206830387,48.0,Texas       ,Texas,South,West South Central
UT,158,54,252,278,442,8,752,1,12,2,47,Utah,2900872,2763885,54.466381143325215,18.615092289490896,86.8704306842908,95.8332528977494,152.367977628796,2.75779145029495,259.232396327725,0.344723931286868,4.13668717544242,0.689447862573736,16.2020247704828,691.516206161458,49.0,Utah        ,Utah,West,Mountain
VA,1236,461,1648,2062,1885,70,4357,4,80,22,345,Virginia,8260405,8001024,149.62946732030701,55.808401646166296,199.505956427076,249.624564413004,228.197043607426,8.47416077056754,527.45597824804,0.484237758318145,9.68475516636291,2.6633076707498,41.76550665494001,1473.29337968296,51.0,Virginia    ,Virginia,South,South Atlantic
