"","ZIP.code","Bank account or service","Consumer loan","Credit card","Credit reporting","Debt collection","Money transfers","Mortgage","Other financial service","Payday loan","Prepaid card","Student loan"
"176",685,1,0,8,0,2,0,1,0,0,0,0
"177",687,1,0,2,0,0,0,2,0,0,0,0
"178",688,1,0,0,0,0,0,1,0,0,0,0
"179",692,1,0,1,1,2,0,3,0,1,0,0
"180",693,0,0,1,2,3,0,3,0,0,0,0
"181",694,2,0,0,0,0,0,2,0,0,0,0
"182",698,1,0,0,2,0,0,0,0,0,0,0
"183",701,0,1,0,0,0,0,0,0,0,0,0
"184",703,0,0,0,0,2,0,0,0,0,0,0
"185",704,0,0,1,0,0,0,0,0,0,0,0
"186",705,2,0,2,2,0,0,1,0,0,0,0
"187",707,0,0,0,1,0,0,1,0,0,0,0
"188",708,0,0,0,0,0,0,1,0,0,0,0
"189",711,0,0,0,0,1,0,0,0,0,0,0
"190",713,0,0,0,0,1,0,0,0,0,0,0
"191",715,0,0,0,3,2,0,0,0,0,0,0
"192",716,1,1,4,5,0,0,1,0,0,0,0
"193",717,0,0,1,2,1,1,0,0,0,0,0
"194",718,0,0,0,0,0,0,1,0,0,0,0
"195",719,0,1,0,0,2,0,0,0,0,0,0
"196",720,0,0,1,0,3,0,0,0,0,0,0
"197",723,0,0,0,0,1,0,1,0,0,0,0
"198",725,1,0,5,4,4,0,3,0,0,0,0
"199",726,0,0,2,1,2,0,3,0,0,0,2
"200",727,2,0,3,0,0,0,1,0,0,0,0
"201",728,0,0,0,0,2,0,0,0,0,0,0
"202",729,0,1,1,0,0,0,2,0,0,0,0
"203",730,0,0,1,5,5,0,1,0,0,0,0
"204",731,0,0,0,0,1,0,0,0,0,0,1
"205",732,0,0,0,1,0,0,0,0,0,0,0
"206",733,0,0,0,2,0,0,0,0,0,0,0
"207",735,0,0,2,1,0,0,0,0,0,0,0
"208",736,3,0,2,1,0,0,4,0,0,0,0
"209",737,0,1,1,3,0,0,1,0,0,0,0
"210",738,1,0,1,1,1,0,2,0,0,0,0
